Gender,ExpierenceYears,ExpierenceYearsGermany,SeniorityLevel,Your main technology / programming language,Other technologies/programming languages you use often,Salary,Yearly bonus + stocks in EUR,SalaryYearAgo,Employment status,Сontract duration,Main language at work,CompanySize,LostJobDueToCorona
Male,"(-0.001, 5.0]","(2.0, 3.0]",Senior,TypeScript,"Kotlin, Javascript / Typescript","(71750.0, 80000.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,51-100,No
Male,"(-0.001, 5.0]","(-0.001, 2.0]",Senior,"AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker","(71750.0, 80000.0]","(-0.001, 5000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,11-50,No
Male,"(12.0, 30.0]","(5.0, 30.0]",Senior,C++,"Python, C/C++, SQL","(80000.0, 115000.0]","(-0.001, 5000.0]","(75000.0, 100000.0]",Self-employed (freelancer),Temporary contract,English,11-50,Yes
Male,"(9.0, 12.0]","(3.0, 5.0]",Lead,kotlin,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker","(71750.0, 80000.0]","(15000.0, 200000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(12.0, 30.0]","(3.0, 5.0]",Lead,iOS,"Swift, AWS","(71750.0, 80000.0]","(-0.001, 5000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,101-1000,Yes
Male,"(5.0, 9.0]","(2.0, 3.0]",Senior,Kubernetes,"Python, AWS, Google Cloud, Kubernetes, Docker","(71750.0, 80000.0]","(5000.0, 15000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(5.0, 9.0]","(3.0, 5.0]",Lead,Go,"Python, Go, AWS, Kubernetes, Docker","(80000.0, 115000.0]","(-0.001, 5000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(5.0, 9.0]","(-0.001, 2.0]",Senior,React,Javascript / Typescript,"(71750.0, 80000.0]","(5000.0, 15000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(12.0, 30.0]","(5.0, 30.0]",Senior,Java,SQL,"(62000.0, 71750.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,German,1000+,No
Male,"(5.0, 9.0]","(2.0, 3.0]",Senior,Java,"Kotlin, AWS, Kubernetes, Docker","(71750.0, 80000.0]","(5000.0, 15000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(5.0, 9.0]","(2.0, 3.0]",Lead,Python,"Python, SQL, Google Cloud, Kubernetes, Docker","(71750.0, 80000.0]","(5000.0, 15000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(9.0, 12.0]","(2.0, 3.0]",Senior,Php,"Javascript / Typescript, AWS, Kubernetes, Docker","(62000.0, 71750.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,German,101-1000,No
Female,"(9.0, 12.0]","(5.0, 30.0]",Senior,Java,"Javascript / Typescript, SQL","(62000.0, 71750.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,German,101-1000,No
Male,"(12.0, 30.0]","(2.0, 3.0]",Lead,.NET,".NET, SQL","(71750.0, 80000.0]","(15000.0, 200000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,51-100,No
